РВСВ_3,РВЛН_13,РВСН_3,РВЛВ_13,РВЛН_11
787.9284,0.0,1329.889,0.0,0.0
804.9395,0.0,1357.989,0.0,0.0
810.9879,0.0,1367.943,0.0,0.0
545.9929,1141.885,1091.986,545.9929,645.9174
545.9929,1142.893,1092.994,545.9929,646.9254
549.8992,1150.958,1100.932,549.8992,649.9496
549.8992,1150.958,1100.932,549.8992,649.9496
551.9153,1153.982,1103.957,551.9153,651.9657
549.8992,1149.95,1099.924,549.8992,649.9496
550.9072,1293.977,1102.949,601.9405,690.9022
550.9072,1293.977,1102.949,601.9405,690.9022
547.8831,1144.909,1095.892,547.8831,647.9335
547.8831,1144.909,1095.892,547.8831,647.9335
546.875,1143.901,1093.876,546.875,646.9254
546.875,1143.901,1093.876,546.875,646.9254
545.9929,1141.885,1091.986,545.9929,645.9174
545.9929,1141.885,1091.986,545.9929,645.9174
546.875,1123.992,1093.876,536.9203,626.8901
548.8911,1126.89,1097.908,538.9365,628.9063
548.8911,1126.89,1097.908,538.9365,628.9063
545.9929,1122.984,1092.994,535.9123,626.8901
544.9849,1120.968,1090.978,534.9042,625.8821
544.9849,1119.96,1089.97,534.9042,625.8821
547.8831,1126.89,1096.9,537.9284,627.8982
547.8831,1126.89,1096.9,537.9284,627.8982
547.8831,1125.882,1095.892,537.9284,627.8982
547.8831,1126.89,1096.9,537.9284,627.8982
547.8831,1126.89,1096.9,537.9284,627.8982
547.8831,1126.89,1096.9,537.9284,627.8982
547.8831,1125.0,1095.892,537.9284,627.8982
599.9244,1384.955,1199.975,579.8891,774.9496
599.9244,1385.963,1200.983,579.8891,774.9496
598.9163,1383.947,1198.967,578.881,773.9415
598.9163,1383.947,1198.967,578.881,773.9415
612.9032,1290.953,1226.941,504.9143,675.9072
612.9032,1290.953,1226.941,504.9143,675.9072
612.9032,1289.945,1225.932,503.9063,674.8992
612.9032,1289.945,1225.932,503.9063,674.8992
596.9002,1378.906,1194.934,576.9909,771.9254
596.9002,1378.906,1194.934,576.9909,771.9254
609.879,1284.904,1220.892,502.8982,672.8831
609.879,1283.896,1219.884,501.8901,672.8831
608.9969,1292.969,1217.994,506.9305,681.9556
611.8951,1287.928,1223.916,503.9063,673.8911
599.9244,1279.99,1199.975,500.0,679.9395
597.9083,1345.892,1195.943,627.8982,737.9032
597.9083,1346.9,1196.951,627.8982,738.9113
597.9083,1345.892,1195.943,627.8982,737.9032
597.9083,1345.892,1195.943,627.8982,737.9032
601.9405,1379.914,1203.881,601.9405,766.8851
601.9405,1380.922,1204.889,601.9405,766.8851
597.9083,1321.951,1196.951,473.9163,723.9163
597.9083,1321.951,1196.951,473.9163,723.9163
547.8831,1125.0,1095.892,537.9284,627.8982
547.8831,1125.0,1095.892,537.9284,627.8982
546.875,1125.0,1094.884,536.9203,627.8982
546.875,1125.0,1094.884,536.9203,627.8982
546.875,1125.0,1094.884,536.9203,627.8982
546.875,1125.0,1094.884,536.9203,627.8982
546.875,1125.0,1094.884,536.9203,627.8982
545.9929,1122.984,1092.994,535.9123,626.8901
545.9929,1121.976,1091.986,535.9123,625.8821
550.9072,1101.941,1101.941,540.9526,600.9324
551.9153,1103.957,1103.957,531.8801,600.9324
551.9153,1103.957,1103.957,500.882,600.9324
551.9153,1129.914,1104.965,501.8901,626.8901
552.9234,1131.93,1106.981,502.8982,627.8982
553.9315,1132.938,1107.989,502.8982,627.8982
599.9244,1375.0,1199.975,599.9244,764.9949
600.9324,1377.898,1202.999,600.9324,765.877
602.9486,1382.938,1206.905,602.9486,767.8931
603.9567,1385.963,1208.921,603.9567,768.9012
603.9567,1384.955,1208.921,603.9567,768.9012
603.9567,1383.947,1207.913,603.9567,767.8931
600.9324,1378.906,1202.999,600.9324,765.877
600.9324,1378.906,1202.999,600.9324,765.877
600.9324,1377.898,1202.999,600.9324,765.877
600.9324,1377.898,1202.999,600.9324,765.877
599.9244,1324.975,1199.975,474.9244,724.9244
599.9244,1324.975,1199.975,474.9244,724.9244
600.9324,1377.898,1202.999,600.9324,765.877
600.9324,1377.898,1202.999,600.9324,765.877
600.9324,1377.898,1202.999,600.9324,765.877
599.9244,1375.882,1200.983,599.9244,764.9949
551.9153,1129.914,1104.965,501.8901,626.8901
551.9153,1129.914,1104.965,501.8901,626.8901
551.9153,1129.914,1104.965,501.8901,626.8901
551.9153,1129.914,1104.965,501.8901,626.8901
551.9153,1129.914,1104.965,501.8901,626.8901
551.9153,1129.914,1104.965,501.8901,626.8901
542.9688,1111.895,1085.938,493.9516,618.9516
542.9688,1111.895,1086.946,493.9516,618.9516
543.9768,1113.911,1088.962,494.9597,619.9597
544.9849,1114.919,1089.97,494.9597,619.9597
548.8911,1122.984,1097.908,498.9919,623.9919
598.9163,1247.984,1197.959,598.9163,638.9869
599.9244,1224.924,1199.975,599.9244,614.9194
600.9324,1226.941,1201.991,600.9324,614.9194
602.9486,1230.973,1205.897,602.9486,616.9355
602.9486,1230.973,1205.897,602.9486,616.9355
602.9486,1230.973,1205.897,602.9486,616.9355
603.9567,1232.989,1207.913,603.9567,617.9435
600.9324,1226.941,1201.991,600.9324,614.9194
608.9969,1244.96,1218.876,608.9969,621.9758
609.879,1244.96,1219.884,609.879,621.9758
612.9032,1252.898,1226.941,612.9032,625.0
613.9113,1254.914,1228.957,613.9113,625.0
615.9274,1257.938,1232.989,615.9274,626.8901
617.9435,1261.971,1235.887,617.9435,627.8982
548.8911,1123.992,1098.916,498.9919,623.9919
549.8992,1149.95,1099.924,500.0,649.9496
549.8992,1150.958,1100.932,500.0,649.9496
553.9315,1301.915,1108.997,604.9647,693.9264
553.9315,1301.915,1108.997,604.9647,693.9264
548.8911,1173.891,1098.916,498.9919,673.8911
548.8911,1171.875,1097.908,498.9919,673.8911
547.8831,1169.985,1095.892,497.9839,672.8831
547.8831,1169.985,1095.892,497.9839,672.8831
549.8992,1251.89,1100.932,600.9324,649.9496
547.8831,1245.968,1095.892,597.9083,647.9335
541.9607,1183.972,1083.921,492.9435,691.9103
541.9607,1183.972,1083.921,492.9435,691.9103
542.9688,1185.988,1085.938,493.9516,692.9183
617.9435,1262.979,1236.895,617.9435,627.8982
619.9597,1266.885,1240.927,619.9597,629.9143
621.9758,1269.909,1243.952,621.9758,630.9224
621.9758,1269.909,1243.952,621.9758,630.9224
621.9758,1270.917,1244.96,621.9758,630.9224
621.9758,1270.917,1244.96,621.9758,630.9224
622.9839,1271.925,1245.968,622.9839,630.9224
622.9839,1271.925,1245.968,622.9839,630.9224
618.9516,1263.987,1237.903,618.9516,628.9063
617.9435,1262.979,1236.895,617.9435,627.8982
613.9113,1254.914,1228.957,613.9113,625.0
613.9113,1253.906,1227.949,613.9113,625.0
612.9032,1251.89,1226.941,612.9032,623.9919
612.9032,1251.89,1225.932,612.9032,623.9919
611.8951,1250.882,1224.924,611.8951,623.9919
611.8951,1250.882,1224.924,611.8951,623.9919
611.8951,1248.992,1223.916,611.8951,622.9839
609.879,1245.968,1220.892,609.879,621.9758
609.879,1245.968,1220.892,609.879,621.9758
609.879,1245.968,1220.892,609.879,621.9758
611.8951,1248.992,1223.916,611.8951,622.9839
611.8951,1250.0,1223.916,611.8951,623.9919
609.879,1245.968,1220.892,609.879,621.9758
609.879,1246.976,1220.892,609.879,622.9839
601.9405,1329.889,1204.889,475.9325,726.9405
602.9486,1329.889,1205.897,476.9405,726.9405
542.9688,1186.996,1086.946,493.9516,693.9264
545.9929,1240.927,1091.986,594.8841,645.9174
545.9929,1240.927,1091.986,594.8841,645.9174
546.875,1194.934,1094.884,497.9839,696.9506
547.8831,1195.943,1095.892,497.9839,697.9587
548.8911,1196.951,1097.908,498.9919,698.9667
548.8911,1196.951,1097.908,498.9919,698.9667
548.8911,1196.951,1097.908,498.9919,698.9667
548.8911,1197.959,1097.908,498.9919,698.9667
548.8911,1198.967,1098.916,498.9919,698.9667
548.8911,1198.967,1098.916,498.9919,698.9667
547.8831,1196.951,1096.9,497.9839,697.9587
547.8831,1196.951,1096.9,497.9839,697.9587
548.8911,1197.959,1097.908,498.9919,698.9667
548.8911,1197.959,1097.908,498.9919,698.9667
549.8992,1199.975,1099.924,500.0,699.9748
548.8911,1197.959,1097.908,498.9919,698.9667
543.9768,1188.886,1088.962,479.9647,693.9264
544.9849,1188.886,1089.97,479.9647,694.9344
545.9929,1192.918,1092.994,481.9808,695.9425
589.9697,1280.998,1180.948,501.8901,691.9103
597.9083,1295.993,1195.943,507.9385,697.9587
597.9083,1296.875,1195.943,507.9385,697.9587
598.9163,1298.891,1198.967,508.9466,698.9667
600.9324,1301.915,1202.999,510.9627,700.9828
600.9324,1302.923,1202.999,510.9627,700.9828
602.9486,1306.956,1206.905,511.9708,702.999
602.9486,1306.956,1206.905,511.9708,702.999
603.9567,1307.964,1207.913,512.9788,702.999
603.9567,1307.964,1207.913,512.9788,702.999
603.9567,1307.964,1207.913,512.9788,702.999
603.9567,1307.964,1207.913,512.9788,702.999
603.9567,1307.964,1207.913,512.9788,702.999
603.9567,1307.964,1207.913,512.9788,702.999
603.9567,1307.964,1208.921,512.9788,702.999
603.9567,1307.964,1208.921,512.9788,702.999
603.9567,1307.964,1208.921,512.9788,702.999
603.9567,1307.964,1208.921,512.9788,702.999
603.9567,1308.972,1208.921,512.9788,703.881
603.9567,1308.972,1208.921,512.9788,703.881
603.9567,1308.972,1208.921,512.9788,703.881
603.9567,1308.972,1208.921,512.9788,703.881
603.9567,1308.972,1208.921,512.9788,703.881
603.9567,1308.972,1208.921,512.9788,703.881
603.9567,1308.972,1208.921,512.9788,703.881
604.9647,1309.98,1209.929,513.9869,703.881
604.9647,1309.98,1209.929,513.9869,703.881
604.9647,1309.98,1209.929,513.9869,703.881
604.9647,1309.98,1209.929,513.9869,703.881
604.9647,1309.98,1209.929,513.9869,703.881
604.9647,1309.98,1209.929,513.9869,703.881
603.9567,1308.972,1208.921,512.9788,703.881
603.9567,1308.972,1208.921,512.9788,703.881
603.9567,1308.972,1208.921,512.9788,703.881
603.9567,1308.972,1208.921,512.9788,703.881
603.9567,1307.964,1207.913,512.9788,702.999
603.9567,1307.964,1207.913,512.9788,702.999
603.9567,1307.964,1207.913,512.9788,702.999
603.9567,1307.964,1207.913,512.9788,702.999
604.9647,1310.988,1210.938,513.9869,703.881
605.9728,1310.988,1211.946,513.9869,704.8891
604.9647,1310.988,1210.938,513.9869,703.881
606.9808,1314.894,1214.97,515.877,705.8972
607.9889,1315.902,1215.978,515.877,705.8972
607.9889,1316.91,1216.986,515.877,706.9052
598.9163,1248.992,1198.967,498.9919,648.9415
621.9758,1270.917,1244.96,621.9758,630.9224
622.9839,1271.925,1245.968,622.9839,630.9224
598.9163,1248.992,1198.967,498.9919,648.9415
598.9163,1247.984,1197.959,498.9919,648.9415
598.9163,1247.984,1197.959,498.9919,648.9415
598.9163,1322.959,1197.959,548.8911,723.9163
602.9486,1330.897,1205.897,501.8901,726.9405
597.9083,1246.976,1196.951,498.9919,648.9415
545.9929,1192.918,1092.994,481.9808,695.9425
547.8831,1195.943,1095.892,482.9889,697.9587
547.8831,1195.943,1095.892,482.9889,697.9587
547.8831,1196.951,1096.9,482.9889,697.9587
547.8831,1196.951,1096.9,482.9889,697.9587
548.8911,1197.959,1097.908,483.997,698.9667
548.8911,1198.967,1098.916,483.997,698.9667
548.8911,1198.967,1098.916,483.997,698.9667
548.8911,1198.967,1098.916,483.997,698.9667
549.8992,1199.975,1099.924,484.879,699.9748
549.8992,1199.975,1099.924,484.879,699.9748
549.8992,1224.924,1099.924,599.9244,625.0
549.8992,1225.932,1100.932,599.9244,625.0
547.8831,1186.996,1096.9,477.9486,687.878
547.8831,1186.996,1096.9,477.9486,687.878
550.9072,1191.91,1101.941,480.9728,690.9022
549.8992,1189.894,1099.924,479.9647,689.8942
549.8992,1189.894,1099.924,479.9647,689.8942
548.8911,1188.886,1098.916,478.9566,688.8861
547.8831,1185.988,1095.892,477.9486,687.878
547.8831,1185.988,1095.892,477.9486,687.878
601.9405,1253.906,1203.881,500.882,650.9576
601.9405,1253.906,1204.889,500.882,651.9657
601.9405,1253.906,1203.881,500.882,650.9576
599.9244,1250.0,1199.975,500.0,649.9496
599.9244,1250.0,1199.975,500.0,649.9496
600.9324,1251.89,1201.991,500.0,649.9496
600.9324,1251.89,1201.991,500.0,649.9496
600.9324,1252.898,1202.999,500.882,650.9576
600.9324,1252.898,1202.999,500.882,650.9576
600.9324,1327.999,1202.999,500.882,725.9324
600.9324,1327.999,1202.999,500.882,725.9324
601.9405,1253.906,1204.889,500.882,651.9657
602.9486,1254.914,1205.897,501.8901,651.9657
589.9697,1231.981,1180.948,492.9435,641.8851
589.9697,1231.981,1180.948,491.9355,641.8851
590.9778,1233.997,1182.964,492.9435,642.8931
589.9697,1231.981,1180.948,492.9435,641.8851
592.994,1236.895,1185.988,493.9516,643.9012
592.994,1236.895,1185.988,493.9516,643.9012
592.994,1236.895,1186.996,494.9597,644.9092
592.994,1236.895,1186.996,494.9597,644.9092
546.875,1182.964,1093.876,476.9405,686.996
546.875,1182.964,1093.876,476.9405,686.996
546.875,1183.972,1093.876,476.9405,686.996
546.875,1194.934,1094.884,477.9486,696.9506
547.8831,1196.951,1096.9,497.9839,697.9587
547.8831,1195.943,1095.892,497.9839,697.9587
547.8831,1194.934,1095.892,477.9486,697.9587
546.875,1194.934,1094.884,477.9486,696.9506
546.875,1194.934,1094.884,477.9486,696.9506
546.875,1194.934,1094.884,477.9486,696.9506
546.875,1133.947,1093.876,486.8952,636.9708
546.875,1133.947,1093.876,486.8952,636.9708
537.9284,1107.989,1076.991,489.9193,619.9597
537.9284,1107.989,1076.991,489.9193,619.9597
537.9284,1107.989,1076.991,469.8841,619.9597
600.9324,1276.966,1202.999,500.882,675.9072
601.9405,1278.982,1203.881,500.882,675.9072
598.9163,1273.942,1198.967,498.9919,673.8911
598.9163,1273.942,1198.967,498.9919,673.8911
598.9163,1273.942,1198.967,498.9919,673.8911
599.9244,1274.95,1199.975,500.0,674.8992
600.9324,1327.999,1202.999,500.882,725.9324
600.9324,1327.999,1202.999,500.882,725.9324
608.9969,1312.878,1217.994,516.8851,701.9909
608.9969,1312.878,1217.994,516.8851,701.9909
541.9607,1113.911,1083.921,472.9083,622.9839
542.9688,1115.927,1085.938,473.9163,623.9919
550.9072,1151.966,1101.941,500.882,650.9576
551.9153,1179.939,1104.965,501.8901,676.9153
539.9446,1110.887,1079.889,471.9002,620.9677
552.9234,1181.956,1106.981,502.8982,677.9234
552.9234,1182.964,1106.981,502.8982,677.9234
553.9315,1182.964,1107.989,502.8982,677.9234
553.9315,1183.972,1108.997,502.8982,678.9315
553.9315,1182.964,1107.989,502.8982,677.9234
549.8992,1175.907,1100.932,500.0,674.8992
549.8992,1174.899,1099.924,500.0,674.8992
548.8911,1172.883,1097.908,498.9919,673.8911
548.8911,1172.883,1097.908,498.9919,673.8911
548.8911,1172.883,1097.908,498.9919,673.8911
548.8911,1172.883,1097.908,498.9919,673.8911
549.8992,1174.899,1099.924,500.0,674.8992
549.8992,1174.899,1099.924,500.0,674.8992
550.9072,1178.931,1102.949,500.882,675.9072
550.9072,1178.931,1102.949,500.882,675.9072
551.9153,1179.939,1104.965,501.8901,676.9153
551.9153,1179.939,1104.965,501.8901,676.9153
552.9234,1181.956,1106.981,502.8982,677.9234
552.9234,1181.956,1106.981,502.8982,677.9234
599.9244,1294.985,1199.975,509.9546,694.9344
599.9244,1294.985,1199.975,509.9546,694.9344
593.876,1293.977,1188.886,485.8871,699.9748
593.876,1293.977,1188.886,485.8871,699.9748
587.9536,1261.971,1175.907,470.8921,674.8992
588.9617,1264.995,1178.931,471.9002,675.9072
552.9234,1182.964,1106.981,502.8982,677.9234
552.9234,1182.964,1106.981,502.8982,677.9234
552.9234,1182.964,1106.981,502.8982,677.9234
552.9234,1182.964,1106.981,502.8982,677.9234
553.9315,1217.994,1107.989,502.8982,713.9617
553.9315,1217.994,1107.989,502.8982,713.9617
553.9315,1217.994,1107.989,502.8982,713.9617
553.9315,1217.994,1107.989,502.8982,713.9617
553.9315,1218.876,1108.997,502.8982,713.9617
553.9315,1218.876,1108.997,502.8982,713.9617
543.9768,1196.951,1087.954,493.9516,703.881
543.9768,1197.959,1088.962,494.9597,703.881
545.9929,1170.993,1091.986,480.9728,675.9072
545.9929,1171.875,1091.986,480.9728,675.9072
546.875,1174.899,1094.884,482.9889,676.9153
594.8841,1274.95,1189.894,475.9325,679.9395
601.9405,1278.982,1203.881,500.882,675.9072
601.9405,1278.982,1203.881,500.882,675.9072
602.9486,1281.88,1206.905,501.8901,677.9234
602.9486,1281.88,1206.905,501.8901,677.9234
546.875,1144.909,1094.884,497.9839,646.9254
546.875,1144.909,1094.884,497.9839,646.9254
554.9395,1160.912,1110.887,524.9496,653.9819
554.9395,1161.92,1110.887,524.9496,654.9899
551.9153,1139.995,1104.965,586.9456,636.9708
551.9153,1139.995,1104.965,586.9456,636.9708
551.9153,1139.995,1104.965,586.9456,636.9708
551.9153,1139.995,1104.965,586.9456,636.9708
602.9486,1396.925,1104.965,652.9738,791.9607
602.9486,1396.925,1104.965,652.9738,791.9607
553.9315,1128.906,1108.997,563.8861,622.9839
553.9315,1129.914,1108.997,564.8942,623.9919
553.9315,1128.906,1108.997,563.8861,622.9839
553.9315,1128.906,1108.997,563.8861,622.9839
604.9647,1401.966,1108.997,654.9899,793.9768
603.9567,1400.958,1108.997,654.9899,793.9768
552.9234,1125.882,1105.973,562.878,621.9758
550.9072,1123.992,1102.949,561.996,620.9677
501.8901,0.0,1004.914,0.0,0.0
551.9153,0.0,1004.914,0.0,0.0
547.8831,1065.902,1095.892,502.8982,567.9183
551.9153,1073.967,1104.965,506.9305,571.9506
553.9315,1108.997,1108.997,503.9063,603.9567
548.8911,1246.976,1097.908,597.9083,747.9839
548.8911,1197.959,1097.908,548.8911,698.9667
548.8911,1197.959,1097.908,548.8911,698.9667
548.8911,1196.951,1097.908,548.8911,698.9667
547.8831,1145.917,1095.892,547.8831,647.9335
547.8831,1145.917,1095.892,547.8831,647.9335
547.8831,1145.917,1095.892,547.8831,647.9335
541.9607,1133.947,1084.929,541.9607,642.8931
541.9607,1133.947,1084.929,541.9607,642.8931
547.8831,1174.899,1095.892,482.9889,677.9234
547.8831,1175.907,1095.892,482.9889,677.9234
547.8831,1175.907,1095.892,482.9889,677.9234
549.8992,1180.948,1100.932,484.879,679.9395
549.8992,1180.948,1100.932,484.879,679.9395
578.881,1228.957,1158.896,526.9657,750.8821
579.8891,1230.973,1160.912,527.9738,751.8901
596.9002,1343.876,1193.926,526.9657,746.9758
596.9002,1343.876,1193.926,526.9657,746.9758
586.9456,1273.942,1174.899,543.9768,757.9385
586.9456,1273.942,1174.899,543.9768,757.9385
597.9083,1295.993,1195.943,552.9234,767.8931
597.9083,1296.875,1196.951,552.9234,767.8931
595.8922,1291.961,1191.91,550.9072,765.877
594.8841,1290.953,1190.902,550.9072,765.877
592.994,1286.92,1186.996,548.8911,763.9869
592.994,1286.92,1186.996,548.8911,763.9869
593.876,1273.942,1187.878,484.879,679.9395
593.876,1273.942,1187.878,484.879,679.9395
550.9072,1227.949,1102.949,500.882,725.9324
551.9153,1229.965,1104.965,501.8901,726.9405
551.9153,1230.973,1104.965,501.8901,726.9405
542.9688,1185.988,1085.938,493.9516,692.9183
549.8992,1199.975,1099.924,500.0,699.9748
547.8831,1121.976,1096.9,472.9083,523.9415
547.8831,1121.976,1096.9,472.9083,523.9415
555.9476,1110.887,1111.895,504.9143,604.9647
555.9476,1111.895,1112.903,504.9143,604.9647
546.875,1113.911,1093.876,486.8952,616.9355
546.875,1113.911,1093.876,486.8952,616.9355
546.875,1113.911,1093.876,486.8952,616.9355
546.875,1133.947,1093.876,476.9405,636.9708
547.8831,1086.946,1096.9,492.9435,587.9536
548.8911,1087.954,1097.908,493.9516,588.9617
548.8911,1097.908,1097.908,498.9919,598.9163
548.8911,1097.908,1097.908,498.9919,598.9163
549.8992,1199.975,1099.924,479.9647,699.9748
549.8992,1199.975,1099.924,479.9647,699.9748
550.9072,1201.991,1101.941,480.9728,700.9828
550.9072,1201.991,1101.941,480.9728,700.9828
549.8992,1201.991,1100.932,479.9647,699.9748
549.8992,1201.991,1100.932,479.9647,699.9748
549.8992,1201.991,1100.932,479.9647,699.9748
549.8992,1201.991,1100.932,479.9647,699.9748
549.8992,1200.983,1100.932,524.9496,599.9244
549.8992,1199.975,1099.924,524.9496,599.9244
548.8911,1198.967,1098.916,523.9415,598.9163
548.8911,1198.967,1098.916,523.9415,598.9163
548.8911,1198.967,1098.916,523.9415,598.9163
549.8992,1199.975,1099.924,524.9496,599.9244
549.8992,1150.958,1100.932,474.9244,549.8992
550.9072,1152.974,1102.949,475.9325,550.9072
599.9244,1300.907,1200.983,549.8992,699.9748
599.9244,1299.899,1199.975,549.8992,699.9748
549.8992,1199.975,1099.924,500.0,599.9244
549.8992,1199.975,1099.924,500.0,599.9244
547.8831,1095.892,1095.892,447.9587,497.9839
547.8831,1096.9,1096.9,447.9587,498.9919
575.9828,1352.949,1201.991,575.9828,750.8821
576.9909,1353.957,1203.881,576.9909,751.8901
576.9909,1354.965,1204.889,576.9909,751.8901
576.9909,1355.973,1204.889,576.9909,751.8901
576.9909,1355.973,1204.889,576.9909,751.8901
577.999,1356.981,1205.897,577.999,752.8982
577.999,1407.888,1206.905,602.9486,802.9234
577.999,1432.964,1206.905,552.9234,827.999
577.999,1433.972,1207.913,552.9234,828.881
578.881,1434.98,1207.913,552.9234,828.881
578.881,1434.98,1207.913,552.9234,828.881
578.881,1434.98,1207.913,552.9234,828.881
577.999,1456.905,1205.897,551.9153,852.9486
576.9909,1455.897,1204.889,551.9153,852.9486
574.9748,1469.884,1199.975,564.8942,849.9244
573.9667,1468.876,1198.967,563.8861,848.9163
572.9587,1444.934,1195.943,557.9637,847.9083
572.9587,1445.943,1196.951,557.9637,847.9083
571.9506,1451.991,1193.926,556.9556,855.9728
578.881,1490.927,1208.921,573.9667,884.9547
578.881,1491.935,1209.929,573.9667,884.9547
579.8891,1482.989,1210.938,569.9344,875.0
579.8891,1482.989,1210.938,569.9344,875.0
570.9426,1451.991,1192.918,555.9476,855.9728
576.9909,1476.941,1204.889,566.9103,872.9839
575.9828,1473.916,1202.999,565.9022,870.9677
574.9748,1469.884,1199.975,564.8942,869.9597
575.9828,1472.908,1201.991,565.9022,870.9677
576.9909,1506.93,1204.889,551.9153,902.9738
577.999,1558.972,1206.905,552.9234,953.881
576.9909,1556.956,1204.889,551.9153,952.999
576.9909,1556.956,1204.889,551.9153,952.999
576.9909,1476.941,1204.889,566.9103,872.9839
576.9909,1506.93,1204.889,551.9153,902.9738
576.9909,1506.93,1204.889,551.9153,902.9738
577.999,1508.947,1206.905,552.9234,903.9819
577.999,1508.947,1207.913,552.9234,903.9819
578.881,1509.955,1207.913,502.8982,903.9819
577.999,1506.93,1205.897,501.8901,902.9738
597.9083,1296.875,1196.951,498.9919,698.9667
597.9083,1346.9,1196.951,548.8911,747.9839
596.9002,1243.952,1193.926,596.9002,646.9254
596.9002,1243.952,1193.926,596.9002,646.9254
596.9002,1243.952,1193.926,596.9002,646.9254
599.9244,1250.882,1200.983,599.9244,649.9496
599.9244,1250.882,1200.983,599.9244,649.9496
599.9244,1200.983,1200.983,599.9244,599.9244
599.9244,1200.983,1200.983,599.9244,599.9244
599.9244,1199.975,1199.975,574.9748,599.9244
599.9244,1200.983,1200.983,574.9748,599.9244
597.9083,1220.892,1195.943,572.9587,622.9839
599.9244,1224.924,1199.975,574.9748,625.0
575.9828,1278.982,1202.999,625.8821,675.9072
574.9748,1250.0,1199.975,589.9697,649.9496
577.999,1356.981,1205.897,577.999,752.8982
574.9748,1250.0,1199.975,589.9697,649.9496
574.9748,1250.0,1199.975,589.9697,649.9496
600.9324,1277.974,1202.999,500.882,675.9072
600.9324,1277.974,1202.999,500.882,675.9072
600.9324,1252.898,1202.999,500.882,650.9576
600.9324,1252.898,1202.999,500.882,650.9576
600.9324,1202.999,1202.999,500.882,600.9324
600.9324,1202.999,1202.999,500.882,600.9324
600.9324,1202.999,1202.999,500.882,600.9324
600.9324,1202.999,1202.999,500.882,600.9324
605.9728,1236.895,1211.946,579.8891,628.9063
605.9728,1236.895,1211.946,579.8891,628.9063
600.9324,1227.949,1202.999,575.9828,625.8821
600.9324,1226.941,1201.991,575.9828,625.0
598.9163,1222.908,1197.959,573.9667,623.9919
597.9083,1220.892,1195.943,572.9587,622.9839
591.9859,1225.932,1184.98,513.9869,633.9466
592.994,1226.941,1185.988,513.9869,633.9466
592.994,1226.941,1186.996,513.9869,634.9547
592.994,1226.941,1186.996,513.9869,634.9547
595.8922,1233.997,1192.918,516.8851,636.9708
595.8922,1233.997,1192.918,516.8851,636.9708
600.9324,1202.999,1202.999,500.882,600.9324
601.9405,1183.972,1204.889,500.882,580.8972
602.9486,1185.988,1205.897,501.8901,581.9052
